objct_d,cnsttn_,dscrptn,ONSCnID,regn_nm,shp_lng,shape_r,prty_cl,wnnr_19
439,Stretford and Urmston,Westminster Constituency,E14000979,North West Euro Region,106798.715468,823154665.455,#DC241F,Labour
440,"Manchester, Withington",Westminster Constituency,E14000809,North West Euro Region,106798.556528,823152215.386,#DC241F,Labour
441,Wythenshawe and Sale East,Westminster Constituency,E14001059,North West Euro Region,106798.723982,823154796.708,#DC241F,Labour
442,Macclesfield,Westminster Constituency,E14000802,North West Euro Region,106798.147824,823145915.208,#0087DC,Conservative
443,Wolverhampton South West,Westminster Constituency,E14001051,West Midlands Euro Region,106798.650189,823153659.176,#0087DC,Conservative
444,Halesowen and Rowley Regis,Westminster Constituency,E14000722,West Midlands Euro Region,106798.147824,823145915.207,#0087DC,Conservative
445,"Birmingham, Northfield",Westminster Constituency,E14000565,West Midlands Euro Region,106798.678571,823154096.688,#0087DC,Conservative
446,Worcester,Westminster Constituency,E14001052,West Midlands Euro Region,106798.670056,823153965.435,#0087DC,Conservative
447,West Worcestershire,Westminster Constituency,E14001035,West Midlands Euro Region,106798.90279,823157553.037,#0087DC,Conservative
448,Hereford and South Herefordshire,Westminster Constituency,E14000743,West Midlands Euro Region,106798.658703,823153790.43,#0087DC,Conservative
449,Cheltenham,Westminster Constituency,E14000630,South West Euro Region,106798.434484,823150334.083,#0087DC,Conservative
450,The Cotswolds,Westminster Constituency,E14000991,South West Euro Region,106798.670056,823153965.435,#0087DC,Conservative
451,North Swindon,Westminster Constituency,E14000851,South West Euro Region,106798.417455,823150071.576,#0087DC,Conservative
452,South Swindon,Westminster Constituency,E14000947,South West Euro Region,106798.843188,823156634.261,#0087DC,Conservative
453,Romsey and Southampton North,Westminster Constituency,E14000901,South East Euro Region,106798.530984,823151821.625,#0087DC,Conservative
454,New Forest East,Westminster Constituency,E14000827,South East Euro Region,106798.882923,823157246.778,#0087DC,Conservative
455,"Southampton, Test",Westminster Constituency,E14000956,South East Euro Region,106798.139309,823145783.955,#DC241F,Labour
456,Bournemouth East,Westminster Constituency,E14000584,South West Euro Region,106798.834673,823156503.007,#0087DC,Conservative
457,Ochil and South Perthshire,Westminster Constituency,S14000050,Scotland Euro Region,106798.593265,823152781.759,#FFFF00,Scottish National Party
458,Dundee West,Westminster Constituency,S14000016,Scotland Euro Region,106799.226192,823162538.353,#FFFF00,Scottish National Party
459,Dunfermline and West Fife,Westminster Constituency,S14000017,Scotland Euro Region,106799.047384,823159782.006,#FFFF00,Scottish National Party
460,Linlithgow and East Falkirk,Westminster Constituency,S14000043,Scotland Euro Region,106799.263089,823163107.123,#FFFF00,Scottish National Party
461,Airdrie and Shotts,Westminster Constituency,S14000003,Scotland Euro Region,106799.041709,823159694.503,#FFFF00,Scottish National Party
462,Glasgow North East,Westminster Constituency,S14000032,Scotland Euro Region,106799.058736,823159957.012,#FFFF00,Scottish National Party
463,Motherwell and Wishaw,Westminster Constituency,S14000047,Scotland Euro Region,106799.041706,823159694.503,#FFFF00,Scottish National Party
464,"East Kilbride, Strathaven and Lesmahagow",Westminster Constituency,S14000019,Scotland Euro Region,106799.058736,823159957.012,#FFFF00,Scottish National Party
465,Kilmarnock and Loudoun,Westminster Constituency,S14000040,Scotland Euro Region,106799.095633,823160525.782,#FFFF00,Scottish National Party
466,Preston,Westminster Constituency,E14000885,North West Euro Region,106799.06725,823160088.267,#DC241F,Labour
467,Fylde,Westminster Constituency,E14000706,North West Euro Region,106799.234708,823162669.608,#0087DC,Conservative
468,Bury North,Westminster Constituency,E14000611,North West Euro Region,106799.124015,823160963.298,#0087DC,Conservative
469,Bolton North East,Westminster Constituency,E14000578,North West Euro Region,106798.749368,823155188.093,#0087DC,Conservative
470,Bolton South East,Westminster Constituency,E14000579,North West Euro Region,106799.078603,823160263.273,#DC241F,Labour
