ons_code,pc_ns_prof_man,pc_ns_inter,pc_ns_routine,pc_never_worked
E14001172,0.4898517480939712,0.1554341797260583,0.11819728690551173,0.09691369050416929
E14001173,0.28528120426510556,0.1662601342718424,0.25832229888261665,0.08229377192371129
E14001174,0.23636320042199152,0.2516603927398278,0.36338024792001344,0.11219939098952214
E14001175,0.49882230650993575,0.1558204597980781,0.19299797635766497,0.07809268945383774
E14001176,0.341252108387549,0.20723532890845764,0.28185581914963526,0.0680598453484042
E14001177,0.3860297016690761,0.22787488500459982,0.2702063346037587,0.05988960441582337
E14001178,0.41263675707642267,0.23585387489583615,0.2512970081449423,0.05553614150157254
E14001179,0.2933393377937897,0.20675716246354434,0.3843712472122148,0.06313261279807857
E14001180,0.2156456318132965,0.18954398894518654,0.3769493979074817,0.12794191836108004
E14001181,0.28405528887860737,0.20297264472847146,0.3294661962870858,0.09182811867445492
E14001182,0.2695532133572479,0.15734265734265734,0.23926361822615425,0.08120553797787228
E14001183,0.32645586925710846,0.22432239210324975,0.312659132812402,0.08831165573379825
E14001184,0.28680439034295546,0.23337857623785654,0.34276309461466936,0.0778783571482008
E14001185,0.30035923066625014,0.20027667455040385,0.3767571065197019,0.07449016020348967
E14001186,0.33994665079165187,0.24214358492942106,0.24580704988036498,0.09281159486656974
E14001187,0.4567072869899847,0.2431545710197839,0.1696802999654645,0.0698110414919335
E14001188,0.3020057186984743,0.2222152651681172,0.26650387160060945,0.11688894454532173
E14001189,0.24515895319223677,0.2503403003424958,0.3068082023359972,0.10990603319574954
E14001190,0.284485689461954,0.20391100142286916,0.3522671468325422,0.10598486470151228
E14001191,0.35227016440144815,0.24386016974301145,0.2781648762537836,0.06831265950501514
E14001192,0.3809995964720124,0.2443765492592379,0.2745950308410676,0.05271228454487808
E14001193,0.3012871369196339,0.18426069555126642,0.3240695788090135,0.07937146984641982
E14001194,0.2176383506770584,0.17939870248617582,0.3788805677711499,0.13972221012757435
E14001195,0.3862881784150584,0.2491302795010516,0.2683633381393934,0.05209063611952539
E14001196,0.2120112958895513,0.20223407593347975,0.3380859742704738,0.1619956071540634
E14001197,0.4377530304986094,0.2249551145898119,0.2473567480667003,0.04531959585528709
E14001198,0.24322874471765452,0.19884609489610475,0.39783451205360076,0.11021216964813557
E14001199,0.2817943180789572,0.22094060750261854,0.36176018000077587,0.09028487191755137
E14001200,0.23473591571751082,0.2038442406540566,0.40646403836587885,0.1079422981263472
E14001201,0.4305868928136103,0.26840685702430045,0.19848803132861328,0.05304857491117508
E14001202,0.2964466046906706,0.23732952668585722,0.330446887829739,0.08829219951866359
E14001203,0.35239195529672507,0.24321552354231013,0.3013462853370429,0.05895598047768373
