Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,total_votes,majority,maj+pc,Win19,Second19,con_pc,lab_pc,ld_pc,green_pc,bxp_pc,snp_pc,plaid_pc,other_pc
Shipley,Shipley,E14001472,511,YH,England,County,none,72.9,74095,54004,6242,11.56,Con,Lab,50.81,39.25,5.9,2.41,0,0,0,1.64
Shrewsbury,Shrewsbury,E14001473,512,WM,England,Borough,9.1,68.6,75139,51554,7175,13.92,Con,Lab,49.37,35.46,10.81,3.25,0,0,0,1.11
North Shropshire,Shropshire North,E14001398,513,WM,England,Borough,7.8,67.8,77052,52271,20543,39.3,Con,Lab,61.69,22.39,10.44,3.29,0,0,0,2.18
South Shropshire,Shropshire South,E14001493,514,WM,England,Borough,10.8,74.9,77034,57736,28636,49.6,Con,Lab,65.39,15.79,15.36,3.46,0,0,0,0
Sittingbourne and Sheppey,Sittingbourne & Sheppey,E14001474,515,SE,England,County,8.4,60.9,76818,46763,21337,45.63,Con,Lab,66.52,20.89,6.33,2.23,0,0,0,4.03
Skipton and Ripon,Skipton & Ripon,E14001475,516,YH,England,County,5.8,74,76758,56773,22517,39.66,Con,Lab,58.86,19.2,15.21,4.74,0,0,0,1.99
Sleaford and North Hykeham,Sleaford & North Hykeham,E14001476,517,EM,England,County,21.3,70.2,73380,51537,24680,47.89,Con,Lab,66.47,18.58,8.2,2.42,0,0,0,4.33
Slough,Slough,E14001477,518,SE,England,Borough,10.6,60.5,75287,45560,13347,29.3,Lab,Con,29.51,58.8,6.8,2.08,2.81,0,0,0
Smethwick,Smethwick,E14001478,519,WM,England,Borough,13.6,57.5,71195,40970,10974,26.79,Lab,Con,30.18,56.97,4.49,2.33,6.03,0,0,0
Solihull West and Shirley,Solihull West & Shirley,E14001479,520,WM,England,Borough,38.6,71.1,70537,50179,20798,41.45,Con,Lab,60.9,19.45,15.67,3.99,0,0,0,0
North Somerset,Somerset North,E14001399,521,SW,England,County,8.5,76.9,73963,56864,16184,28.46,Con,Lab,53.48,25.02,16.57,4.93,0,0,0,0
North East Somerset and Hanham,Somerset North East & Hanham,E14001394,522,SW,England,County,89.4,78.6,73113,57437,16389,28.53,Con,Lab,54.73,26.2,15.02,2.39,0,0,0,1.67
South Down,South Down,N05000015,523,NI,Northern Ireland,County,19.2,62.7,71772,45007,1623,3.61,SF,SDLP,0,,,0,,,,2.38
South Holland and the Deepings,South Holland & the Deepings,E14001487,524,EM,England,County,none,64.6,76139,49179,30838,62.71,Con,Lab,75.92,13.22,6.56,3.28,0,0,0,1.02
