Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,total_votes,majority,maj+pc,Win19,Second19,con_pc,lab_pc,ld_pc,green_pc,bxp_pc,snp_pc,plaid_pc,other_pc
Congleton,Congleton,E14001178,159,NW,England,County,14.1,71.3,69836,49813,18203,36.54,Con,Lab,60.64,24.1,11.08,2.86,0,0,0,1.32
Corby and East Northamptonshire,Corby & East Northamptonshire,E14001179,160,EM,England,County,10.7,70.2,76748,53890,8676,16.1,Con,Lab,54.64,38.54,6.83,0,0,0,0,0
North Cornwall,Cornwall North,E14001385,161,SW,England,County,6.7,72.1,75034,54077,15783,29.19,Con,LD,59.07,9.62,29.88,0.19,0,0,0,1.25
South East Cornwall,Cornwall South East,E14001486,162,SW,England,County,0.7,72.8,71734,52247,20225,38.71,Con,Lab,59.03,20.32,16.31,2.69,0,0,0,1.66
North Cotswolds,Cotswolds North,E14001386,163,SW,England,County,97.7,71.6,70915,"50,793","20,997",41.34,Con,LD,59.34,16.52,18,5.8,0.34,0,0,0
South Cotswolds,Cotswolds South,E14001482,164,SW,England,County,90.4,73,72865,53189,16092,30.25,Con,LD,57.9,10.66,27.65,3.79,0,0,0,0
Coventry East,Coventry East,E14001180,165,WM,England,Borough,34.5,58.2,73389,42684,7288,17.07,Lab,Con,35.02,52.1,5.4,2.33,5.14,0,0,0
Coventry North West,Coventry North West,E14001181,166,WM,England,Borough,none,65,73431,47744,208,0.44,Lab,Con,43.38,43.81,5.69,3.02,4.1,0,0,0
Coventry South,Coventry South,E14001182,167,WM,England,Borough,37.6,65.9,70998,"46,805",808,1.73,Lab,Con,42.54,44.27,6.73,2.65,2.88,0,0,0.93
Cowdenbeath and Kirkcaldy,Cowdenbeath & Kirkcaldy,S14000071,168,SC,Scotland,County,36.1,67,70329,47148,3220,6.83,SNP,Lab,22.23,29.49,6.46,3.51,1.99,36.32,0,0
Cramlington and Killingworth,Cramlington & Killingworth,E14001183,169,NE,England,County,102.8,65.6,73295,48072,2157,4.49,Lab,Con,39.89,44.37,5.24,2.48,8.02,0,0,0
Crawley,Crawley,E14001184,170,SE,England,Borough,none,67,74446,49899,8360,16.75,Con,Lab,54.19,37.44,5.47,2.91,0,0,0,0
Crewe and Nantwich,Crewe & Nantwich,E14001185,171,NW,England,County,6.2,65.8,76236,50196,5816,11.59,Con,Lab,50.82,39.24,5.13,1.89,2.62,0,0,0.3
Croydon East,Croydon East,E14001186,172,GL,England,Borough,26.8,67.2,75346,50622,3413,6.74,Lab,Con,41.34,48.08,6.6,2.33,1.65,0,0,0
Croydon South,Croydon South,E14001187,173,GL,England,Borough,27.2,71.1,71541,50894,13408,26.34,Con,Lab,54.48,28.13,13.53,2.88,0.12,0,0,0.87
Croydon West,Croydon West,E14001188,174,GL,England,Borough,62.6,62.8,70812,44449,20090,45.2,Lab,Con,21.51,66.71,6.97,2.71,1.32,0,0,0.78
Cumbernauld and Kirkintilloch,Cumbernauld & Kirkintilloch,S14000072,175,SC,Scotland,County,28.1,68.3,70579,48212,12005,24.9,SNP,Lab,15.02,27.13,5.58,0.24,0,52.03,0,0
Dagenham and Rainham,Dagenham & Rainham,E14001189,176,GL,England,Borough,23,59.7,73627,43992,706,1.6,Lab,Con,43.12,44.73,3.04,1.53,6.62,0,0,0.96
Darlington,Darlington,E14001190,177,NE,England,County,5.6,65.7,70446,46301,4968,10.73,Con,Lab,49.66,38.93,4.62,2.52,3.64,0,0,0.63
Dartford,Dartford,E14001191,178,SE,England,County,13.2,64.5,72048,46488,14704,31.63,Con,Lab,61.12,29.49,6.99,2.4,0,0,0,0
Daventry,Daventry,E14001192,179,EM,England,County,17.4,74.4,76539,56956,26612,46.72,Con,Lab,64.5,17.77,13.12,4.61,0,0,0,0
Derby North,Derby North,E14001193,180,EM,England,Borough,none,65.4,71876,47017,2540,5.4,Con,Lab,45.22,39.81,7.34,2.22,4.06,0,0,1.35
Derby South,Derby South,E14001194,181,EM,England,Borough,none,58.9,72067,42462,6019,14.18,Lab,Con,36.91,51.08,6.17,0,5.84,0,0,0
Derbyshire Dales,Derbyshire Dales,E14001195,182,EM,England,County,19.1,75.5,71435,53930,18797,34.85,Con,Lab,59,24.15,12.76,4.09,0,0,0,0
Mid Derbyshire,Derbyshire Mid,E14001362,183,EM,England,County,4.8,73.6,70085,51582,16816,32.6,Con,Lab,59.56,26.96,9.62,3.86,0,0,0,0
North East Derbyshire,Derbyshire North East,E14001391,184,EM,England,County,0.9,68.4,72344,49479,12902,26.08,Con,Lab,58.4,32.32,6.14,2.67,0.47,0,0,0
South Derbyshire,Derbyshire South,E14001483,185,EM,England,County,11.6,66.3,71202,47199,16483,34.92,Con,Lab,62.12,27.2,7.34,3.35,0,0,0,0
Central Devon,Devon Central,E14001155,186,SW,England,County,2.8,77.2,73491,56724,17300,30.5,Con,Lab,55.3,24.8,14.99,4.92,0,0,0,0
North Devon,Devon North,E14001387,187,SW,England,County,none,72.7,76455,55581,14813,26.65,Con,LD,56.64,9.17,29.99,3.16,0,0,0,1.04
South Devon,Devon South,E14001484,188,SW,England,County,6.3,75.6,71691,54189,13719,25.32,Con,LD,53.57,17.03,28.25,0.15,0,0,0,1
South West Devon,Devon South West,E14001495,189,SW,England,County,12.7,74.4,75371,56100,23090,41.16,Con,Lab,62.57,21.41,12.13,3.88,0,0,0,0
Dewsbury and Batley,Dewsbury & Batley,E14001196,190,YH,England,Borough,79.6,65.6,70226,46101,14009,30.39,Lab,Con,28.7,59.09,2.51,1.11,3.39,0,0,5.2
Didcot and Wantage,Didcot & Wantage,E14001197,191,SE,England,County,23.8,73.1,74356,54346,10023,18.44,Con,LD,49.76,16.02,31.32,0.68,0,0,0,2.21
Doncaster Central,Doncaster Central,E14001198,192,YH,England,County,13.5,61.4,75007,46043,1271,2.76,Lab,Con,36.6,39.36,4.09,2.25,15.58,0,0,2.11
Doncaster East and the Isle of Axholme,Doncaster East & the Isle of Axholme,E14001199,193,YH,England,County,65.2,61.4,70113,43084,10085,23.41,Con,Lab,52.13,28.72,4.44,2.36,10.33,0,0,2.02
Doncaster North,Doncaster North,E14001200,194,YH,England,County,8.9,55.9,71739,40070,2070,5.17,Lab,Con,33.16,38.32,3.61,0.04,20.34,0,0,4.52
Dorking and Horley,Dorking & Horley,E14001201,195,SE,England,County,67,77.5,70317,"54,495","10,381",19.05,Con,LD,51.17,9.94,32.12,4.22,0,0,0,2.56
Mid Dorset and North Poole,Dorset Mid & North Poole,E14001363,196,SW,England,County,13.6,73.9,74305,54907,16570,30.18,Con,LD,60.04,7.25,29.86,2.85,0,0,0,0
North Dorset,Dorset North,E14001388,197,SW,England,County,9.6,74.1,72109,53464,23195,43.38,Con,LD,63.75,11.93,20.37,3.95,0,0,0,0
South Dorset,Dorset South,E14001485,198,SW,England,County,8.5,68.8,76640,52719,18147,34.42,Con,Lab,59.2,24.78,10.68,4.43,0,0,0,0.92
West Dorset,Dorset West,E14001575,199,SW,England,County,9,76.7,75390,57813,12388,21.43,Con,LD,54.27,9.36,32.84,3.52,0,0,0,0
Dover and Deal,Dover & Deal,E14001202,200,SE,England,County,0.8,67.5,75855,51197,12421,24.26,Con,Lab,56.87,32.61,5.72,2.74,0,0,0,2.06
Droitwich and Evesham,Droitwich & Evesham,E14001203,201,WM,England,Borough,5.6,70.9,74345,52689,25631,48.65,Con,Lab,65.69,17.05,12.03,4.01,0,0,0,1.21
Dudley,Dudley,E14001204,202,WM,England,Borough,15.9,59.4,71083,42224,13609,32.23,Con,Lab,63.16,30.93,3.79,2.12,0,0,0,0
Dulwich and West Norwood,Dulwich & West Norwood,E14001205,203,GL,England,Borough,24.6,70.2,74314,52194,24963,47.83,Lab,Con,16.64,64.47,0.96,16.24,1.08,0,0,0.6
Dumfries and Galloway,Dumfries & Galloway,S14000073,204,SC,Scotland,County,5.3,68.3,76863,52500,1556,2.96,Con,SNP,43.81,9.38,5.97,0,0,40.84,0,0
"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale & Tweeddale",S14000074,205,SC,Scotland,County,10.7,72,70738,50896,4338,8.52,Con,SNP,46.47,8.3,7.3,0,0,37.94,0,0
