bc_name,pa_name,ons_code,PANO,region_name,country_name,constituency_type,index_of_change,turnout_19,electorate,total_votes,majority,maj_pc,Win19,Second19,con_19,lab_19,lib_19,green_19,bxp_19,snp_19,pc_19,other_19,gss_code,Leave.preds,Remain.preds,leave_hanretty,remain_hanretty
Angus and Perthshire Glens,Angus & Perthshire Glens,S14000065,13,SC,Scotland,County,91.6,73.4,77006,56547,6005,10.62,SNP,Con,39.8,4.25,4.96,0,0.58,50.42,0,0,S14000065,23427.76842,28388.71956,45.21296084,54.78703915999999
East Antrim,Antrim East,N05000005,14,NI,Northern Ireland,County,13.7,57.4,69936,40156,6395,15.93,DUP,All,2.51,NA,NA,1.71,NA,NA,NA,0,NA,NA,NA,NA,NA
North Antrim,Antrim North,N05000012,15,NI,Northern Ireland,County,11.4,57.1,71165,40622,13765,33.89,DUP,UUP,0.04,NA,NA,0,NA,NA,NA,0.61,NA,NA,NA,NA,NA
South Antrim,Antrim South,N05000014,16,NI,Northern Ireland,County,5.7,59.6,71646,42668,3036,7.12,DUP,UUP,0.04,NA,NA,0,NA,NA,NA,0.03,NA,NA,NA,NA,NA
Arbroath and Broughty Ferry,Arbroath & Broughty Ferry,S14000066,17,SC,Scotland,County,56.8,67.9,76810,52124,10777,20.68,SNP,Con,30.26,10.21,8,0,0,50.94,0,0.6,S14000066,18927.61397,32735.67455,36.63648697,63.36351302999999
"Argyll, Bute and South Lochaber","Argyll, Bute & South Lochaber",S14000067,18,SC,Scotland,County,6.1,70.7,71707,50727,4897,9.65,SNP,Con,34.51,7.08,14.14,0,0.11,44.16,0,0,S14000067,20419.75493,31229.08752,39.53574555,60.46425445
Arundel and South Downs,Arundel & South Downs,E14001067,19,SE,England,County,57.8,75.5,76974,58105,24105,41.49,Con,LD,60.44,15.68,18.95,3.98,0,0,0,0.96,E14001067,30197.78718,31750.60171,48.74668692,51.25331308
Ashfield,Ashfield,E14001068,20,EM,England,County,18,61.5,69819,42949,5303,12.35,Con,Other,39.2,25.58,2.07,1.31,4.98,0,0,26.86,E14001068,35935.53564,14814.53979,70.80883197,29.191168029999996
Ashford,Ashford,E14001069,21,SE,England,County,54.7,66.1,73546,48579,17211,35.43,Con,Lab,59.2,23.77,10.65,4.6,0,0,0,1.77,E14001069,32626.43194,20978.43489,60.86468239,39.13531761
Ashton-under-Lyne,Ashton-under-Lyne,E14001070,22,NW,England,Borough,50.9,57.2,72278,41377,4689,11.33,Lab,Con,36.2,47.53,4.29,3.48,8.5,0,0,0,E14001070,28651.86174,17139.63047,62.570273119999996,37.429726880000004
Aylesbury,Aylesbury,E14001071,23,SE,England,County,54.3,76.5,75636,57888,16640,28.75,Con,Lab,51.69,22.95,21.89,2.94,0.53,0,0,0,E14001071,27528.17608,26470.524,50.97933105,49.02066895
"Ayr, Carrick and Cumnock","Ayr, Carrick & Cumnock",S14000006,24,SC,Scotland,County,NA,64.7,72057,46592,2329,5,SNP,Con,38.51,13.35,4.63,0,0,43.51,0,0,S14000006,20547.91878,26701.96181,43.487768700000004,56.5122313
Central Ayrshire,Ayrshire Central,S14000010,25,SC,Scotland,County,NA,66.7,69779,46534,5304,11.4,SNP,Con,34.77,14.15,4.91,0,0,46.17,0,0,S14000010,19120.77663,25283.8014,43.06037233,56.93962767000001
North Ayrshire and Arran,Ayrshire North & Arran,S14000048,26,SC,Scotland,County,NA,65.4,73588,48154,8521,17.7,SNP,Con,30.85,13.92,4.38,2.31,0,48.54,0,0,S14000048,20296.63887,28423.64527,41.65952484,58.340475160000004
Banbury,Banbury,E14001072,27,SE,England,County,55.2,72.6,69943,50810,13799,27.16,Con,Lab,51.95,24.79,20.34,2.91,0,0,0,0,E14001072,24578.48193,26983.79022,47.66756954,52.33243046
Bangor Aberconwy,Bangor Aberconwy,W07000083,28,WA,Wales,County,57.1,68.7,70468,48407,749,1.55,Con,Lab,39.98,38.44,4.42,0,0.94,0,16.21,0,W07000083,23607.4024,26127.20936,47.466747129999995,52.533252870000005
Barking,Barking,E14001073,29,GL,England,Borough,8.7,57.1,71822,41019,13993,34.11,Lab,Con,26.82,60.94,3.31,1.83,7.1,0,0,0,E14001073,25723.03019,17343.5532,59.72851377,40.27148623
