ons_code,pc_no_ed,pc_elem_ed,pc_losec_ed,pc_upsec_ed,pc_degree,pc_other_ed,con_name_gb,total_area,pc_green_belt,pc_employed,pc_unemp,pc_student,pc_retired,pc_carer,pc_sick_disabled,pc_emp_other,pc_ns_prof_man,pc_ns_inter,pc_ns_routine,pc_never_worked,id_british,id_welsh,id_english,id_other_uk,id_non_uk,dist_under_5,dist_5_10,dist_10_30,dist_30_60,dist_over_60,dist_wfh,dist_na,av_dist,pc_trav_wfh,pc_trav_pubtrans,pc_trav_car,pc_trav_other
E14001360,0.114882572640375,0.081952269418244,0.137431157814775,0.164284357789454,0.431373045514971,0.0700765968221814,Mid Buckinghamshire,54160,31.2,0.6092351325002215,0.01948569909218673,0.05129081677871893,0.2413112014281916,0.03951583292184196,0.01653562249148529,0.02262569478735392,0.46517516871146225,0.2569478735392056,0.1864752282194452,0.04270647370886669,0.578463552051699,0.00793480372608566,0.3319938239414297,0.01393703283331799,0.06767078744746771,0.0951545087153529,0.08709229701596113,0.16655100624566274,0.06088500632730538,0.0142670531085439,0.4456259950197983,0.1304241335673756,8.1032881577336,0.4456259950197983,0.02688084255214924,0.44068661468751275,0.08680654774053966
E14001361,0.174070976846287,0.107275388072963,0.14902263105629,0.185477969999477,0.303637694036481,0.0805153399885015,Mid Cheshire,10510,2.9,0.5953171139624219,0.02319230668722398,0.04805707267358298,0.21974547260041288,0.04156322680116027,0.04603182899103666,0.02609297828416128,0.33023662995047887,0.2118040583800452,0.33637777168019023,0.07446461003750017,0.5856244422725534,0.00832872986869502,0.3478731993371011,0.01030467853652318,0.04786894998512726,0.2239903660057632,0.10915659541525095,0.18448668874457017,0.04186916691755193,0.0100640832652359,0.30334179175089243,0.12709130790073545,7.757623328028902,0.30334179175089243,0.01296718420713087,0.5363425229022407,0.14734850113973594
E14001362,0.148362655183222,0.089287417723934,0.133563183930445,0.176912279745438,0.358798599092408,0.0930758643245527,Mid Derbyshire,14230,44.9,0.5563701775664001,0.017375069840967,0.0516618743271419,0.2954579523309849,0.03180659843828784,0.02917648982706695,0.01815183766915141,0.3933170711764626,0.2210381433886156,0.28124446382578594,0.05422384540957468,0.5567816353201887,0.00450025569634638,0.3940564804818455,0.00930734700835274,0.03535428149326666,0.195600773805259,0.16197368106804233,0.17324639965608654,0.01764944711136586,0.01263404265482075,0.3174512192209405,0.121444436483485,6.973681068042321,0.3174512192209405,0.02908934584796159,0.536887105633971,0.1165723292971269
E14001363,0.148477013306426,0.106716276723214,0.155060856404112,0.180311534338147,0.313678501608123,0.0957558176199786,Mid Dorset and North Poole,30310,60.8,0.5427198425911912,0.01765803945310529,0.05082992785429595,0.30839765904848393,0.03408001614449321,0.02721860652842944,0.019095908380001,0.37635276607552787,0.25204964556898163,0.2723442900027749,0.05085643651774677,0.5695158222194197,0.00648443001124528,0.3767275173145842,0.00918540004834421,0.03808683040640666,0.2138089183543729,0.1535964035964036,0.12417128326219236,0.03875669784760693,0.01387249114521841,0.3000862773590046,0.15570792843520118,7.023771682862591,0.3000794641843569,0.01816324213872176,0.5591327051878761,0.1226245884890453
E14001364,0.171435470240251,0.0975371242303513,0.136448146806713,0.174815887963298,0.329337196667874,0.0904261740915127,Mid Leicestershire,13770,0,0.5936111647672397,0.01930413366814757,0.05420610392118988,0.2528249951709484,0.03440699246667954,0.02455572725516708,0.02109088275062777,0.3627824995170949,0.24124734402163417,0.2815940699246668,0.06152211705621016,0.5733414665341742,0.00336478389626233,0.3509804114481361,0.00670989069371611,0.06560344742771126,0.1910580449689045,0.1781414447456546,0.13981023760165842,0.03109551905597193,0.0113418912454154,0.30730744697815343,0.14124541540424174,6.916560357199809,0.30730744697815343,0.02449768776909583,0.5561911975761441,0.1120036676766066
E14001365,0.207259938609899,0.115547602182207,0.159079894120717,0.174862369359629,0.245361567808721,0.0978886279188259,Mid Norfolk,83900,0,0.5389156072524823,0.01934906609998881,0.04322161329207521,0.29434937677863526,0.03938162522213523,0.03587717009034535,0.02890554126433782,0.3011432832111346,0.2568162047968187,0.33577730831365726,0.06494345718901454,0.5369756198991527,0.00468888080261995,0.3915683318604772,0.00895149971409263,0.05781566772365754,0.162729184093324,0.07345194764090159,0.2612529107227635,0.0600004521511089,0.01896773901837994,0.24940655166956796,0.17419121470395407,10.400210250265635,0.24941782912436977,0.01449209830209581,0.5937690759874297,0.14232099658610478
E14001366,0.113377165254773,0.0887469970919206,0.147502844860286,0.177291693007966,0.404412694398786,0.0686686053862688,Mid Sussex,16600,0,0.6086940029586921,0.02033152524371278,0.05288978239704636,0.23608845730759015,0.0383618455158113,0.02430173601891539,0.01933265055823186,0.45073966367429513,0.2451131622202554,0.2093943608547225,0.04388671134150967,0.5885688733510843,0.00413626293217341,0.3090205085469217,0.01107746092400252,0.087196894245818,0.19224821973550357,0.07216683621566633,0.148646998982706,0.03314343845371312,0.01283825025432349,0.4194506612410987,0.12150559511698882,6.513326551373347,0.4194506612410987,0.04730417090539166,0.4026246185147508,0.1306205493387589
E14001367,0.256336154498956,0.10319044014771,0.136906809789215,0.17112777816005,0.246026285006537,0.086412532397532,Middlesbrough and Thornaby East,3560,0,0.4576409197775102,0.04320201846436149,0.1196742932507598,0.17840472504157348,0.0748322724926888,0.07547451115316245,0.0507712598199438,0.18367604390059292,0.16718465084807962,0.3636593002052823,0.17024668279872013,0.5722972184050512,0.00128436576581431,0.3098914127125266,0.00632303146247047,0.11020397165413735,0.41913353115727,0.1303738872403561,0.08602967359050445,0.02884272997032641,0.01880118694362018,0.15456379821958455,0.16225519287833828,6.548249258160238,0.15456746747697275,0.05149083657772291,0.5215554078435096,0.2723862881017947
E14001368,0.209001770753495,0.0932420646457172,0.13682374395433,0.186708777122922,0.275590030922113,0.0986336126014219,Middlesbrough South and East Cleveland,19530,0,0.4964386240799229,0.02880816143142204,0.05625520330897414,0.28157995586272516,0.04758632537364714,0.05904351618146498,0.03028821376184372,0.27660755345296933,0.195958981948886,0.35785078098157885,0.11519147923989743,0.5828220195002651,0.00163403997446136,0.3883929054529321,0.00792130636626302,0.01922972870607841,0.22924459684123025,0.1873181629260183,0.184071072319202,0.02966541978387365,0.0205475893599335,0.1882013715710723,0.16095178719866998,8.638170199501248,0.1882013715710723,0.03982231920199501,0.6079852452202826,0.16399106400665003
E14001369,0.149468296611984,0.103149437709648,0.138722076650931,0.150640796892364,0.387791723167586,0.0702276689674861,Milton Keynes Central,6580,0,0.633221520987755,0.03327861665358224,0.08217697617275517,0.13184000978782842,0.04896972910145696,0.03561342155973124,0.03489972573689094,0.3636993913194197,0.20345428778254707,0.2847952202771179,0.06909595130555357,0.5371378611453325,0.00389460716130827,0.22713507928307436,0.01119103445535111,0.22064141795493383,0.28828982451788926,0.1292242822595647,0.06769702982575805,0.02171823649779872,0.02500465058597383,0.362482172753767,0.10558380355924848,6.021539964035469,0.3624934114656001,0.05021238334418503,0.4198989241310886,0.1673952810591263
E14001370,0.153600181999722,0.107493585773688,0.144323251728365,0.163294194967202,0.353395432312534,0.0778933532184881,Milton Keynes North,22130,0,0.6033164393776621,0.02836162333640879,0.05892240997965142,0.20888259754047597,0.04455201526775445,0.03124328560053588,0.0247216288975114,0.3812117688691168,0.22991759769475759,0.2691471614175219,0.0628507153328952,0.5607015923375033,0.00475894058352241,0.29675106925563743,0.01339330535531415,0.12439509246802272,0.1852813145040976,0.15824324048149435,0.09858780732051256,0.0229302487175819,0.02295068565939792,0.3886084486317467,0.1233982546851689,6.489699781324723,0.3886084486317467,0.04007684290122826,0.4385563344301159,0.13275837403690913
E14001371,0.181367211131276,0.0915708812260536,0.109397055858036,0.139856825972978,0.400504133897963,0.0773038919136923,Mitcham and Morden,1870,0,0.6114740875176446,0.03978624722726356,0.0842609397055858,0.13109497882637627,0.06073805202661827,0.03259729784230691,0.04004839685420448,0.3175438596491228,0.2469449485783424,0.25711837063924176,0.09781205888283928,0.5599618622840613,0.00283608862170941,0.15620303485722598,0.00586609783293741,0.27513291640406584,0.21775982888246845,0.12995035676089836,0.12924800868357622,0.00788545341357128,0.00705540568582693,0.31658339585295386,0.1915175507207049,5.023265280061295,0.31657834248499556,0.283408887753799,0.25780551653684075,0.1422072532243647
E14001372,0.170187850695292,0.0949621858989998,0.141010002439619,0.180104903635033,0.318040985606245,0.0956940717248109,Morecambe and Lunesdale,82380,1.9,0.5212734813369114,0.01854110758721639,0.05081727250548914,0.31267382288363016,0.03369114418150768,0.04092461575994145,0.02207855574530373,0.31806538180043914,0.2431690656257624,0.3178214198585021,0.07157843376433276,0.5813073464488434,0.00439444184485178,0.35359998372428947,0.01672329257624153,0.04397493540577381,0.25434385002286236,0.13936899862825788,0.13671696387745771,0.04983996342021033,0.01947873799725651,0.23763145861911297,0.16262002743484225,8.21656378600823,0.23764232475193195,0.03097992592253875,0.5647949151767342,0.1665828341487951
E14001373,0.159537755682194,0.106847721172535,0.149978183549074,0.186907485025981,0.296505401224366,0.10022345334585,New Forest East,39590,0,0.5487564622972062,0.01886792452830188,0.04313046237653872,0.29870026840845687,0.03821184434953921,0.02937948724729277,0.02295355079266438,0.35135456745071597,0.2452368675049251,0.30194491822352676,0.06007959488583025,0.5835095836087244,0.00680766688697951,0.3624256444150694,0.01012337519277373,0.03713372989645296,0.19431335535630015,0.13152430391694195,0.16764983482774895,0.02833883907503539,0.01644643699858423,0.2991269466729589,0.1626002831524304,7.416175082586125,0.2991340050496708,0.01826376271266429,0.557162745699521,0.12543948653814388
E14001374,0.162556590483225,0.0984093116135297,0.145788026753108,0.167316345930272,0.327643510729966,0.0982862144898992,New Forest West,35630,13.9,0.4851804740607006,0.01700108051919631,0.0406630831726232,0.3713429896188093,0.03463132411472652,0.02989892358404114,0.02128212492990302,0.37075485891701887,0.2685021815545799,0.26415274985296733,0.05750003419364545,0.5659431798129522,0.00705840832892182,0.3686136109640609,0.01035233221575201,0.04803246867831304,0.19750571263386835,0.0933568262533381,0.18707155245987392,0.02615422734906257,0.01847314373812736,0.3106296286099716,0.16680890895575806,7.59016325744019,0.3106296286099716,0.01131514467417338,0.5294992153731796,0.14855601134267543
E14001375,0.171070565462896,0.0978936879359516,0.139825218476904,0.178103059249333,0.326552818151622,0.0865546507232931,Newark,77290,3.3,0.5490842868432808,0.0191274668132724,0.05571017879027362,0.2745421434216404,0.03806022288652945,0.03383385447090219,0.02964184677410118,0.3550566945367083,0.22711029664414156,0.29475432367426413,0.06928186920169511,0.567347871196185,0.00515900589192739,0.35604755423143186,0.0104417517775726,0.06100381690288314,0.2336719291804349,0.05613348019418267,0.20368783910578064,0.04956553665402032,0.0177048912821768,0.30114633051850037,0.13808999306490433,8.72577815852813,0.30114633051850037,0.01507363439807449,0.5180312487251663,0.16574878635825888
E14001376,0.148136449778901,0.101768793430196,0.143866077068857,0.169399873657612,0.361023373341756,0.0758054327226785,Newbury,39680,0,0.6240887440144538,0.02175643406739188,0.04881931546829397,0.2160734816611707,0.04054378450770066,0.02553411919291463,0.02318412108807439,0.4021200788396422,0.2319831202304543,0.2681053216758478,0.05096780714610603,0.5573077198767113,0.00829433629949722,0.3273498059534903,0.01332213768598257,0.09372600018431858,0.22581029079224024,0.06894910144007617,0.12500495893997698,0.03520847383663268,0.01424207561391677,0.3994723687864482,0.13131273059070894,6.305490538342524,0.3994723687864482,0.02078787638354425,0.43434363470464554,0.14539612012536202
E14001377,0.232967989853673,0.093465462736858,0.111884074431635,0.201459480947243,0.278380373672554,0.0818426183580366,Newcastle upon Tyne Central and West,3240,2.7,0.44035247127415905,0.03497264656331043,0.19162549453877753,0.16248319987884982,0.06340507694928729,0.06079277642114827,0.0463683343744676,0.20590796373066805,0.16620288867435212,0.2995627236072463,0.14104529880553504,0.560771896009729,0.00163679891084035,0.25611313798826707,0.01113635146814743,0.17034181562301615,0.31592099476230456,0.15974971012754388,0.09777697812962297,0.01191475750669705,0.01675262884330894,0.24427252009115988,0.15361241053936267,5.819839270720883,0.24427252009115988,0.140378233577226,0.41583703170604935,0.19951221462556476
