ons_code,pc_trav_wfh,pc_trav_pubtrans,pc_trav_car,pc_trav_other
E14001227,0.45353714760789055,0.07586350238077243,0.34490968180787546,0.12568966820346156
E14001228,0.23601739391213075,0.04920420709894394,0.5503288134867083,0.16444958550221708
E14001229,0.26643018695998827,0.3359747465707731,0.2869648697463267,0.11063019672291195
E14001230,0.5278343986859552,0.05814252636995112,0.31040351467416044,0.10361956026993331
E14001231,0.3059774186406907,0.05775957493911888,0.3455612131945982,0.2907017932255922
E14001232,0.29646539027982327,0.04062697243845992,0.4962129181569535,0.1666947191247633
E14001233,0.3049265123320507,0.026220063500073592,0.5419584095544482,0.12689501461342753
E14001234,0.429057935335631,0.024002954209748892,0.4388642704743148,0.10807483998030527
E14001235,0.3101325152328604,0.040116749754995955,0.5246708423878308,0.12507989262431293
E14001236,0.2222547965731783,0.26137659207140296,0.3780742043714779,0.13829440698394085
E14001237,0.3884728393292246,0.043302995556829586,0.439587215135445,0.12863694997850078
E14001238,0.4785666777519122,0.21366810774858663,0.1997173262387762,0.10804788826072498
E14001239,0.27866113024103706,0.051321652825602596,0.48972047802309093,0.1802967389102694
E14001240,0.2869049032411255,0.01472159563101033,0.5805295025525348,0.11784399857532946
E14001241,0.30591930631746594,0.019753141036984605,0.5348389665545921,0.13948858609095735
E14001242,0.3161347976389248,0.027608588293394163,0.5162382710533123,0.1400183430143687
E14001243,0.2598727928612113,0.011130624644009874,0.5906350863869375,0.13836149610784126
E14001244,0.280690218130697,0.10797696249603192,0.4335404290054873,0.17779239036778377
E14001245,0.30513352932711085,0.07308649082050123,0.4971114903065315,0.12466848954585638
E14001246,0.2626384860940141,0.06910221369108473,0.5009284566754991,0.16733084353940203
E14001247,0.2954353537249015,0.008280165134171515,0.5441686995683993,0.15211578157252767
E14001248,0.23430409458402157,0.04835260366860819,0.5236894723115709,0.19365382943579937
E14001249,0.44969910902247645,0.03115231675420503,0.4167180555850894,0.1024305186382291
E14001250,0.2753478927355617,0.012482331627879198,0.5602715454599749,0.1518982301765842
E14001251,0.23990146709393326,0.13162426699801627,0.45636867002376125,0.17210559588428923
E14001252,0.2464703779823072,0.03172191939951747,0.5180725583057815,0.2037351443123939
E14001253,0.26454537641801307,0.01596338948092128,0.5436790993468545,0.17581213475421106
E14001254,0.2619923233053998,0.09089447559333615,0.49836217117823195,0.1487510299230321
E14001255,0.11860976299810659,0.04311301660536682,0.5654530022416157,0.27282421815491087
E14001256,0.16560927586961277,0.047424584943727366,0.5557500182308758,0.23121612095578406
E14001257,0.49919649609276534,0.2749086211242753,0.12630766322157802,0.09958721956138139
E14001258,0.4474103503217663,0.04744759658162104,0.3406998158379374,0.16444223725867527
E14001259,0.46185748176785874,0.21525349266321062,0.10028995694578684,0.22259906862314383
E14001260,0.5175644028103045,0.21953456379685887,0.07582581353073156,0.1870752198621051
E14001261,0.2309316566173193,0.06254838936724304,0.5728362621120052,0.1336836919034324
E14001262,0.25812955254942765,0.0630853277835588,0.5002601456815817,0.17852497398543185
E14001263,0.37135116571908267,0.014919677948639676,0.5078414164154615,0.10588773991681612
E14001264,0.5304922612183912,0.20910139184382764,0.09476556282786286,0.1656407841099183
E14001265,0.6155987956098035,0.18201832486159225,0.07205296726778256,0.13032991226082172
E14001266,0.32179579401684083,0.026044090889857402,0.5135615452968307,0.13859856979647103
E14001267,0.23962731110787597,0.05926990828359295,0.522528752365701,0.1785740282428301
E14001268,0.5339191564147627,0.03743409490333919,0.33185413005272407,0.09679261862917399
E14001269,0.35122215750466973,0.032095442768483,0.4267207616140111,0.18996163811283617
E14001270,0.31831551508533384,0.24353171178470157,0.3292002043080825,0.1089525688218821
E14001271,0.3464967717692071,0.2564650018788645,0.28328152222184266,0.11375670413008575
E14001272,0.17404434554557738,0.04087525497364169,0.594664759331373,0.19041564014940793
E14001273,0.3016519523072722,0.035997087467006465,0.5261672886138163,0.13618367161190498
E14001274,0.2743427563357859,0.05262252054558754,0.4674067380921647,0.20562798502646185
E14001275,0.25368275603644114,0.04227265275533385,0.5413475725426825,0.1626970186655425
E14001276,0.2270206302105412,0.23235481136074607,0.4242616928076869,0.11636286562102585
E14001277,0.3336294271723038,0.04785331966746384,0.49395285275025624,0.12456440040997609
E14001278,0.3405783076565766,0.04128280560501665,0.4823294882712704,0.13580939846713633
E14001279,0.35885845257612176,0.2668120394098079,0.2650771165263342,0.10925239148773616
E14001280,0.4483441593014588,0.02168033223298903,0.4037695666063252,0.12620594185922693
E14001281,0.22092123920422807,0.010376831521505607,0.5289605981179908,0.23974133115627552
E14001282,0.2589610753290395,0.0443853262391487,0.5590637543171847,0.1375898441146271
E14001283,0.4114258544703107,0.066730062359417,0.3969606641917964,0.12488341897847595
E14001284,0.40209668025626094,0.09075907590759076,0.40139778683750726,0.10574645699864105
E14001285,0.3411468933317371,0.03069555848198252,0.500155632706812,0.12800191547946846
E14001286,0.2107867845850708,0.06699353892682033,0.5569353434449892,0.16528433304311965
E14001287,0.29078316223606937,0.031357869726991526,0.51947819070247,0.158380777334469
E14001288,0.29955324206902206,0.01539060578735962,0.557894089679482,0.12716206246413642
E14001289,0.42215440833462914,0.03842714974343026,0.43535220027989424,0.10406624164204634
E14001290,0.5161962295594209,0.20006249349026142,0.06815956671180086,0.21558171023851683
E14001291,0.2946365738413592,0.01776917663617171,0.5346335578566402,0.1529606916658289
